step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,book5folio16v-2,0.5100833873056994,0.4057577054794519,1,,Why write down these omens?,"It is possible that they were written down for the sole purpose of preserving tradition. However it is not likely that it was that simple. At the beginning book 5- the book of omens, there is a short discussion about the purpose of omens as a means for predicting the future, which goes against what God wills his people to know. The implication could be that it was a good thing that the new world was 'civilized' by christianity.","The image is describing a story in which the younger child wishes to be fed before the elder child. The younger child is warned: if you eat before the elder child, you will not grow, you will stay the size you are for the rest of your life. 


Sahagún, Bernardino de, Antonio Valeriano, Alonso Vegerano, Martín Jacobita, Pedro de San Buenaventura, Diego de Grado, Bonifacio Maximiliano, Mateo Severino, et al. Historia general de las cosas de Nueva España (Florentine Codex), Ms. Mediceo Palatino 218–20, Biblioteca Medicea Laurenziana, Florence, MiBACT, 1577.  Available at Digital Florentine Codex/Códice Florentino Digital, edited by Kim N. Richter, Alicia Maria Houtrouw, Kevin Terraciano, Jeanette Peterson, Diana Magaloni, and Lisa Sousa, bk. 5, fol. 17r. Los Angeles: Getty Research Institute, 2023.  https://florentinecodex.getty.edu/en/book/5/folio/16v?spTexts=&nhTexts= . Accessed 23 August 2026.",,,,,,,
2,book5folio17r,0.5,0.5,1,,"Why did these specific omens stick around? ","An omen which implies that some food will go uneaten does not make the most sense. It could be that an omen like this, which would possibly often leave a few tamales as inedible might serve as a way to ensure that elders may have a reason to eat extra food. Since if the only people who can eat them should expect to not be going to war or bearing children anytime thereafter would happen to be elders, who may be beginning to have a slowing appetite. This is speculation, only.","An omen about tamales is written about here: it is said that if one eats the tamales which have stuck to sides of the pots while cooking, if he is a man he will never hit an enemy in combat with his arrows, and that his wife should not have a good childbirth. If the one eating it were a woman, the woman would not have a good childbirth. 

Sahagún, Bernardino de, Antonio Valeriano, Alonso Vegerano, Martín Jacobita, Pedro de San Buenaventura, Diego de Grado, Bonifacio Maximiliano, Mateo Severino, et al. Historia general de las cosas de Nueva España (Florentine Codex), Ms. Mediceo Palatino 218–20, Biblioteca Medicea Laurenziana, Florence, MiBACT, 1577.  Available at Digital Florentine Codex/Códice Florentino Digital, edited by Kim N. Richter, Alicia Maria Houtrouw, Kevin Terraciano, Jeanette Peterson, Diana Magaloni, and Lisa Sousa, bk. 5, fol. 17r. Los Angeles: Getty Research Institute, 2023.  https://florentinecodex.getty.edu/en/book/5/folio/17r?spTexts=&nhTexts= . Accessed 23 August 2026.",,,,,,,
3,book5folio19r,0.5,0.5,1,,What cultural values might they reveal?,"In a final story, it is said that an unwed woman who eats while standing will be destined to be married outside of her community, so mothers forbade their daughters to eat not sitting down. This short list of customs imply that there are important customs regarding how eating is done. It would seem there is a hierarchy and that sitting is ideal during meals. There are also several implications  that there were very expected gender roles in the society. ","Sahagún, Bernardino de, Antonio Valeriano, Alonso Vegerano, Martín Jacobita, Pedro de San Buenaventura, Diego de Grado, Bonifacio Maximiliano, Mateo Severino, et al. Historia general de las cosas de Nueva España (Florentine Codex), Ms. Mediceo Palatino 218–20, Biblioteca Medicea Laurenziana, Florence, MiBACT, 1577.  Available at Digital Florentine Codex/Códice Florentino Digital, edited by Kim N. Richter, Alicia Maria Houtrouw, Kevin Terraciano, Jeanette Peterson, Diana Magaloni, and Lisa Sousa, bk. 5, fol. 17r. Los Angeles: Getty Research Institute, 2023.  https://florentinecodex.getty.edu/en/book/5/folio/19r?spTexts=&nhTexts= . Accessed 23 August 2026.",,,,,,,
